word,normalized_word,source,is_trusted,is_common,is_active,layer,include_in_runtime,include_as_candidate,review_state
অক্ষীয়,অক্ষীয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্সফোর্ডশায়ার,অক্সফোর্ডশায়ার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্সফোর্ডশায়ারে,অক্সফোর্ডশায়ারে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্সফোর্ডশায়ারের,অক্সফোর্ডশায়ারের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্সিলিয়ারি,অক্সিলিয়ারি,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখণ্ডণীয়,অখণ্ডণীয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখণ্ডনীয়,অখণ্ডনীয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখেয়ালবশত,অখেয়ালবশত,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখেলোয়াড়,অখেলোয়াড়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখেলোয়াড়সুলভ,অখেলোয়াড়সুলভ,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখেলোয়াড়ি,অখেলোয়াড়ি,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখেলোয়াড়েরা,অখেলোয়াড়েরা,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখেলোয়াড়োচিত,অখেলোয়াড়োচিত,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অখ্যায়িত,অখ্যায়িত,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগণনীয়,অগণনীয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগায়রা,অগায়রা,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগোচরে,অগোচরে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগোছালো,অগোছালো,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নাশয়,অগ্নাশয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নাশয়ে,অগ্নাশয়ে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নিদুর্ঘটনায়,অগ্নিদুর্ঘটনায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নিনিয়ন্ত্রক,অগ্নিনিয়ন্ত্রক,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নিপরীক্ষায়,অগ্নিপরীক্ষায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নিবলয়ের,অগ্নিবলয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নিময়,অগ্নিময়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নিসংযোগ,অগ্নিসংযোগ,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নিসংযোগের,অগ্নিসংযোগের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নেয়গিরির,অগ্নেয়গিরির,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্নেয়াস্ত্র,অগ্নেয়াস্ত্র,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্ন্যাশয়,অগ্ন্যাশয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্ন্যাশয়ে,অগ্ন্যাশয়ে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্ন্যাশয়ের,অগ্ন্যাশয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্ন্যুদ্‌গম,অগ্ন্যুদ্গম,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্ন্যুদ্‌গার,অগ্ন্যুদ্গার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্রক্রয়,অগ্রক্রয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্রক্রয়াধিকার,অগ্রক্রয়াধিকার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্রক্রয়ের,অগ্রক্রয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্রগতিবিষয়ক,অগ্রগতিবিষয়ক,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অগ্রগামিতায়,অগ্রগামিতায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
